%%TM,TN,TQ,Stat,Clas,M,PR,PA,PE,PT,MR,MA,ME,MT,H,Str,FX,FY,FZ,FVX,FVY,FVZ,FVR,FAX,FAY,FAZ,FT,FirstLat,firstLong,FirstAlt,MeasLat,MeasLon,MeasAlt,RNG_MIN,RNG_MAX,AZM_MIN,AZM_MAX,ELV_MIN,ELV_MAX
50,26,13,3,0,1,3871.12,206.5891,17.9984,23024.488,3876.71,206.7619,18.2279,23024.465,1,4541.39,-1652.0881,-3290.4788,1202.9539,-17.12,0.84,15.95,23.41,0,0,0,23024.46,13.187484,78.163879,755.580017,13.187484,78.163879,755.5800171,3671.12,4071.12,205.29,207.89,16.8,19.2
50,26,13,3,0,1,3873.99,206.6713,18.1018,23024.965,3873.99,206.6713,18.1018,23024.965,0,0,-1652.8572,-3290.4409,1203.6703,-17.12,0.84,15.95,23.41,0,0,0,23024.96,13.187484,78.163879,755.580017,13.187484,78.163879,755.5800171,3673.99,4073.99,205.37,207.97,16.9,19.3
50,26,13,3,0,1,3885.71,206.9173,18.2955,23025.52,3874.36,206.6375,17.7419,23025.58,1,5523.86,-1663.626,-3293.1304,1203.6095,-13.62,-0.95,7.41,15.54,0,0,0,23025.58,13.187484,78.163879,755.580017,13.187484,78.163879,755.5700073,3685.71,4085.71,205.62,208.22,17.1,19.5
50,26,13,3,0,1,3885.33,206.893,18.1036,23026.08,3866.31,206.7719,18.0031,23026.066,1,11708.93,-1664.5334,-3289.3049,1202.2035,-10.46,1.23,4.71,11.54,0,0,0,23026.07,13.187484,78.163879,755.570007,13.187484,78.163879,755.5700073,3685.33,4085.33,205.59,208.19,16.9,19.3
50,26,13,3,0,1,3877.88,206.8513,18.0649,23026.566,3877.88,206.8513,18.0649,23026.566,0,0,-1665.2073,-3289.2258,1202.507,-10.46,1.23,4.71,11.54,0,0,0,23026.57,13.187484,78.163879,755.570007,13.187484,78.163879,755.5700073,3677.88,4077.88,205.55,208.15,16.86,19.26
50,26,13,3,0,1,3882.9,207.0078,18.1152,23027.15,3856.79,207.0541,17.8868,23027.217,1,5438.1,-1673.1763,-3280.2771,1197.8854,-9.02,5.13,-0.28,10.38,0,0,0,23027.22,13.187484,78.163879,755.570007,13.187484,78.163879,755.5700073,3682.9,4082.9,205.71,208.31,16.92,19.32
50,26,14,3,0,1,3872.03,207.1055,18.019,23027.717,3855.43,206.9266,18.1834,23027.748,1,5149.89,-1669.7793,-3272.9453,1199.9716,-4.79,7.55,0.9,8.99,0,0,0,23027.75,13.187484,78.163879,755.570007,13.187484,78.163879,755.5700073,3672.03,4072.03,205.81,208.41,16.82,19.22
50,97,14,3,0,1,48570.65,230.162,3.3024,23437.123,48579.89,230.2903,3.3449,23437.139,1,914847.56,-37277.2773,-31018.4102,2817.4819,-109.35,143.87,195.25,266.04,0,0,0,23437.14,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,46440.65,50700.65,227.56,232.76,0.9,5.7
50,97,14,3,0,1,48578.36,230.3428,3.4403,23437.639,48573.28,230.3068,3.2517,23437.674,1,482732.91,-37323.8984,-30959.332,2837.0767,-103.83,135.16,144.18,223.24,0,0,0,23437.67,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48378.36,48778.36,229.04,231.64,2.24,4.64
50,97,14,3,0,1,48578.31,230.5263,3.5185,23438.674,48584.89,230.6558,3.1285,23438.688,1,1619089.63,-37486.2969,-30780.2578,2771.6235,-136.18,159.22,31.32,211.84,0,0,0,23438.69,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48378.31,48778.31,229.23,231.83,2.32,4.72
50,97,14,3,0,1,48586.32,230.7341,3.2887,23439.188,48588.64,230.7529,3.1974,23439.17,1,5519493,-37562.3984,-30696.4453,2747.7031,-140,161.21,12.82,213.9,0,0,0,23439.17,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48386.32,48786.32,229.43,232.03,2.09,4.49
50,97,14,3,0,1,48599.33,231.1219,3.2638,23440.67,48607.99,231.2561,3.3276,23440.699,1,6647086.5,-37820.4727,-30401.7031,2800.8481,-155.3,177.89,23.46,237.31,0,0,0,23440.7,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48399.33,48799.33,229.82,232.42,2.06,4.46
50,97,14,3,0,1,48623.21,231.624,3.3438,23442.199,48628.88,231.6469,3.2833,23442.244,1,3138803,-38064.6328,-30129.1484,2806.3359,-157.96,179.22,16.56,239.47,0,0,0,23442.24,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48423.21,48823.21,230.32,232.92,2.14,4.54
50,97,14,3,0,1,48648.37,232.0596,3.3363,23443.744,48658.23,232.1137,3.2301,23443.824,1,2970352.75,-38322.9883,-29846.3809,2784.469,-162.09,181.84,7.78,243.72,0,0,0,23443.82,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48448.37,48848.37,230.76,233.36,2.14,4.54
50,97,14,3,0,1,48680.22,232.518,3.2928,23445.324,48689.25,232.3638,3.1823,23445.406,1,5146813.5,-38533.1367,-29625.8047,2752.5054,-156.49,173.4,0.71,233.58,0,0,0,23445.41,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48480.22,48880.22,231.22,233.82,2.09,4.49
50,97,14,3,0,1,48712.16,232.857,3.2405,23446.906,48727.66,232.9135,3.0882,23446.943,1,2293443.25,-38788.8789,-29355.3516,2698.8108,-159.81,174.92,-7.36,237.05,0,0,0,23446.94,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48512.16,48912.16,231.56,234.16,2.04,4.44
50,97,14,3,0,1,48753.02,233.2982,3.1603,23448.443,48765.34,233.3079,3.0319,23448.426,1,869315.94,-39036.8242,-29094.6191,2644.8379,-161.08,174.69,-13.36,238,0,0,0,23448.43,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48553.02,48953.02,232,234.6,1.96,4.36
50,97,14,3,0,1,48795.52,233.7192,3.0835,23449.926,48812.38,233.6828,3.1459,23449.977,1,131507.27,-39275.5664,-28844.7813,2645.0046,-160.64,173.05,-10.6,236.35,0,0,0,23449.98,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48595.52,48995.52,232.42,235.02,1.88,4.28
50,97,14,3,0,1,48842.42,234.119,3.0856,23451.477,48868.57,233.8148,2.8681,23451.51,1,2378.02,-39468.0117,-28666.7188,2562.9302,-153.09,162.12,-19.59,223.84,0,0,0,23451.51,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48642.42,49042.42,232.82,235.42,1.89,4.29
50,97,13,3,0,1,48889.88,234.3973,2.9705,23453.01,48927.88,234.4386,3.1791,23453.002,1,330437.66,-39714.7695,-28419.4004,2596.7117,-155.79,162.68,-10.96,225.51,0,0,0,23453,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48689.88,49089.88,233.1,235.7,1.77,4.17
50,97,13,3,0,1,48952.92,234.8049,3.0214,23454.502,48990.54,234.7482,3.2048,23454.535,1,1134787.75,-39946.8164,-28194.3496,2635.1516,-155.53,160.12,-3.41,223.25,0,0,0,23454.54,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48752.92,49152.92,233.5,236.1,1.82,4.22
50,97,13,3,0,1,48968,234.8048,3.0845,23456.035,48968,234.8048,3.0845,23456.035,0,0,-39958.3555,-28182.4746,2634.8987,-155.53,160.12,-3.41,223.25,0,0,0,23456.04,13.187484,78.163879,754.640015,13.187484,78.163879,754.6400146,48768,49168,233.5,236.1,1.88,4.28
50,97,12,3,0,1,49022.11,235.2,3.075,23456.641,49022.11,235.2,3.075,23456.641,0,0,-40196.5195,-27937.2852,2629.6921,-155.53,160.12,-3.41,223.25,0,0,0,23456.64,13.187484,78.163879,754.630005,13.187484,78.163879,754.6300049,48822.11,49222.11,233.9,236.5,1.87,4.27
50,97,11,4,0,1,49042.86,235.347,3.0714,23457.211,49042.86,235.347,3.0714,23457.211,0,0,-40285.2227,-27845.9668,2627.7493,-155.53,160.12,-3.41,223.25,0,0,0,23457.21,13.187484,78.163879,754.630005,13.187484,78.163879,754.6300049,48842.86,49242.86,234.05,236.65,1.87,4.27
50,97,10,4,0,1,49065.75,235.5064,3.0675,23457.83,49065.75,235.5064,3.0675,23457.83,0,0,-40381.5117,-27746.834,2625.6399,-155.53,160.12,-3.41,223.25,0,0,0,23457.83,13.187484,78.163879,754.630005,13.187484,78.163879,754.6300049,48865.75,49265.75,234.21,236.81,1.87,4.27
